# zmp::izac::GPSRecPlay Ver1.01 (20151024)
# recorder zmp::izac::GPSRecPlay Ver0.0.0-5-g1f7d17d
# sender zmp::izac::AdvancedNavigationGPS Ver0.0.0-12-gb63bd2c-dirty
# logtime, timestamp, availability, latitude, longitude, fixQuality, numSatellites, hdop, altitude, magVariation, heading, direction, speed,
2.914838105,2020-02-19 07:32:20.696181,1,0,0,0,0,0,0,0,0,0,0,
2.974412025,2020-02-19 07:32:20.755782,1,0,0,0,0,0,0,0,0,0,0,
3.034045825,2020-02-19 07:32:20.815415,1,0,0,0,0,0,0,0,0,0,0,
3.063428458,2020-02-19 07:32:20.844797,1,0,0,0,0,0,0,0,0,0,0,
3.114705767,2020-02-19 07:32:20.896073,1,0,0,0,0,0,0,0,0,0,0,
3.174352682,2020-02-19 07:32:20.955722,1,0,0,0,0,0,0,0,0,0,0,
3.233979549,2020-02-19 07:32:21.015348,1,0,0,0,0,0,0,0,0,0,0,
3.263370878,2020-02-19 07:32:21.044741,1,0,0,0,0,0,0,0,0,0,0,
3.314716099,2020-02-19 07:32:21.096087,1,0,0,0,0,0,0,0,0,0,0,
3.374353519,2020-02-19 07:32:21.155720,1,0,0,0,0,0,0,0,0,0,0,
3.433940379,2020-02-19 07:32:21.215309,1,0,0,0,0,0,0,0,0,0,0,
3.493566462,2020-02-19 07:32:21.274934,1,0,0,0,0,0,0,0,0,0,0,
3.514674487,2020-02-19 07:32:21.296046,1,0,0,0,0,0,0,0,0,0,0,
3.574304391,2020-02-19 07:32:21.355675,1,0,0,0,0,0,0,0,0,0,0,
3.633930256,2020-02-19 07:32:21.415300,1,0,0,0,0,0,0,0,0,0,0,
3.693560763,2020-02-19 07:32:21.474929,1,0,0,0,0,0,0,0,0,0,0,
3.714608268,2020-02-19 07:32:21.495980,1,0,0,0,0,0,0,0,0,0,0,
3.77423583,2020-02-19 07:32:21.555606,1,0,0,0,0,0,0,0,0,0,0,
3.833901203,2020-02-19 07:32:21.615274,1,0,0,0,0,0,0,0,0,0,0,
3.893559181,2020-02-19 07:32:21.674927,1,0,0,0,0,0,0,0,0,0,0,
3.914632186,2020-02-19 07:32:21.696003,1,0,0,0,0,0,0,0,0,0,0,
